,Net1_M1,Net2_M1,Net3_M1,Net4_M1,Net5_M1
0,141.34366,15.882722,55.725792,-48.00389,-21.975988
1,161.80496,35.32415,37.894527,-35.903114,1.1155291
2,171.53049,52.969215,55.652588,-22.395145,4.25383
3,207.08481,30.075878,64.41362,-21.193892,-15.532427
4,250.21336,-8.522854,42.13534,-30.579762,-13.099637
5,247.68187,-18.613298,44.249836,-31.315746,-15.869905
6,210.4658,-5.164796,65.852776,-20.310371,-21.784449
7,209.09695,-24.44796,71.47976,-14.106722,-24.560717
8,249.59871,-54.07821,58.74722,-17.122156,-22.27267
9,260.40277,-41.17569,66.65971,-29.009777,-14.007129
10,241.37566,-21.047543,109.264,-24.18538,-24.825394
11,241.00961,-21.72948,122.79706,-5.7973995,-30.74578
12,249.45828,-9.15946,96.48996,-10.414745,-31.78978
13,240.92818,18.819176,81.11417,-15.00107,-48.11422
14,228.5541,34.697643,81.74042,5.7847967,-44.906677
15,232.9585,29.687801,78.9626,14.232751,-24.098045
16,223.4508,30.586998,87.70572,-1.5606441,-9.739687
17,203.52493,36.295204,113.32742,-10.152759,6.456438
18,231.60834,5.4344883,115.04969,2.4338999,13.181995
19,273.30994,-32.83847,90.25747,11.927056,3.3753853
20,274.88242,-32.380283,87.77818,-4.9571295,10.449614
21,261.89252,-27.886444,95.14947,-30.805046,23.410667
22,269.2661,-41.05869,89.97593,-34.938103,1.9221001
23,314.6462,-51.159954,83.574745,-29.78833,-17.683115
24,356.63486,-50.749485,81.57808,-14.975773,-6.3486357
25,340.98053,-41.872948,88.75368,8.201343,7.6196365
26,307.62686,-17.458332,96.81263,11.541812,8.800034
27,307.72406,16.623077,86.35332,2.8423185,3.769165
28,316.9273,48.276226,75.31727,8.842862,8.120693
29,308.07587,74.338326,80.951935,20.030937,18.895761
30,299.54187,94.29442,71.33921,11.310876,13.897263
31,280.45242,116.24669,57.114555,-8.311775,-8.898457
32,250.02696,153.29094,65.437256,-11.673628,-23.41758
33,282.5196,201.22739,90.02525,-6.2248106,-34.675674
34,371.43195,287.4131,122.410385,-4.215541,-63.586998
35,443.49585,397.70508,145.41296,2.836215,-77.7446
36,478.8648,411.01877,165.89755,18.607113,-61.231037
37,466.0325,289.2787,203.27768,56.65707,-25.025585
38,436.82477,172.2102,244.94885,112.46596,31.451256
39,443.51447,132.83397,276.2343,138.31989,71.46483
40,440.0921,75.14603,291.88083,118.53183,68.67674
41,397.70856,-34.806084,320.1178,93.786316,41.538624
42,344.08728,-178.39018,333.241,62.690914,10.677702
43,231.2385,-397.11417,280.14545,4.7434664,-31.167484
44,37.754364,-703.31,206.2312,-39.19072,-75.320984
45,-199.92654,-1006.9013,152.53381,-55.48318,-97.957825
46,-494.2295,-1215.3107,107.21623,-69.70589,-103.5323
47,-831.4877,-1301.0764,75.3373,-69.383995,-110.05609
48,-1128.954,-1277.5579,64.72881,-49.114582,-133.5654
49,-1351.9889,-1190.1824,80.24552,-40.083652,-164.37943
50,-1504.069,-1061.1627,105.40873,-46.39552,-178.7901
51,-1566.0385,-879.51245,111.056274,-52.492153,-190.20523
52,-1514.9125,-693.8053,109.78225,-53.989132,-184.97046
53,-1359.0372,-530.1706,124.883896,-38.820663,-157.8454
54,-1155.5734,-359.47272,140.4089,5.0729036,-146.91794
55,-931.1769,-202.4826,124.56589,39.41197,-116.44655
56,-682.7772,-65.903946,86.395294,44.673542,-53.18089
57,-427.6687,51.160095,47.61376,54.359417,-5.968072
58,-183.10107,131.18228,25.401134,84.17023,30.60559
