,Net1_NT1,Net2_NT1,Net3_NT1,Net4_NT1,Net5_NT1
0,221.81732,76.335075,15.42173,-82.82585,-49.483154
1,196.41406,77.75084,12.34333,-84.106415,-63.726208
2,185.8383,59.770863,51.05683,-70.16784,-53.9419
3,212.6085,22.03299,79.69195,-54.46088,-49.219063
4,232.24129,-0.12451935,93.2436,-35.65236,-55.108955
5,225.096,10.841521,103.17234,-12.445208,-40.222176
6,175.19055,37.813194,124.54031,-7.4744654,-11.309013
7,119.6379,56.78088,155.66925,-8.621427,2.8083696
8,136.71292,39.934902,148.57657,-1.5101748,-4.9757705
9,176.1405,2.6750822,123.47559,-3.5374079,3.4798155
10,156.15564,4.9632835,118.952126,-17.052906,19.743828
11,140.41971,33.016518,102.079994,-28.58662,4.3370705
12,190.75012,26.255566,82.56731,-29.792702,-0.5219555
13,247.71083,-23.603016,74.552216,-25.510742,8.535955
14,256.91028,-58.657227,71.93598,-8.360798,6.0146465
15,248.815,-40.20151,99.26727,25.829086,2.185031
16,264.19824,-14.924646,119.378555,30.798546,-23.824009
17,303.44653,-16.871498,89.18927,0.15869713,-46.37566
18,326.98895,-35.84682,62.440983,-8.912956,-27.372093
19,300.61285,-44.289604,79.012024,6.44119,2.3512125
20,275.81775,-31.636547,90.42615,4.0187483,9.567944
21,299.1986,-42.79452,64.91771,-6.796732,12.734684
22,322.0372,-71.692184,54.143143,-6.6253233,20.175327
23,341.58807,-85.674286,47.69323,-2.1408234,18.106127
24,371.9911,-93.581345,9.947052,4.6793146,5.826931
25,365.36603,-80.38519,-7.364807,12.718951,-5.3560987
26,346.3476,-41.149696,4.0774765,21.262905,5.6391983
27,346.43362,-18.358038,10.191002,23.207115,19.846912
28,347.47528,-41.46188,12.548622,12.361379,-0.63611794
29,346.36398,-56.411686,11.93177,8.839818,-11.916809
30,317.50287,-15.046909,15.825886,1.9014578,3.9247437
31,278.30103,28.768768,22.3316,-18.791039,-0.7186899
32,275.90106,31.617886,22.290157,-29.745485,-17.483664
33,301.57837,34.428112,31.20411,-21.758408,-25.524227
34,343.60675,94.50027,35.589687,-3.3837929,-29.808723
35,404.68,213.60178,43.42853,5.1075697,-16.271885
36,483.67947,295.08444,97.136696,-9.43687,2.3720856
37,527.5416,259.36804,151.5079,-13.63484,20.16869
38,476.38995,184.47655,172.5589,17.672516,48.00155
39,392.02722,143.69933,222.34937,65.721306,67.03287
40,371.3388,94.0093,292.79086,88.06875,86.04677
41,398.716,3.9547777,322.78995,72.39443,97.05142
42,409.2943,-113.89456,326.256,47.931057,56.97877
43,363.36176,-267.7223,314.44653,26.076744,19.577915
44,263.551,-511.48203,277.83762,-11.536076,10.221127
45,118.93054,-818.32385,209.9544,-45.06119,-31.18335
46,-136.13113,-1046.3682,130.01599,-62.114998,-79.28102
47,-484.59174,-1182.3419,69.27372,-91.67457,-104.09766
48,-793.7825,-1279.5814,48.37223,-102.58984,-111.68291
49,-1027.5033,-1285.0767,69.83151,-69.85701,-86.74367
50,-1216.2915,-1201.4191,109.0708,-55.091103,-70.58229
51,-1350.4806,-1072.9559,151.94038,-57.997326,-88.68448
52,-1397.1285,-906.982,182.68341,-34.38693,-96.68973
53,-1341.1708,-729.3812,188.1742,-10.899848,-95.73726
54,-1211.0681,-557.121,176.47508,-1.4878912,-92.631165
55,-1047.1458,-383.69193,149.81915,0.35977077,-91.11072
56,-842.00806,-235.94243,120.886024,2.0353136,-87.67619
57,-603.06793,-104.97966,90.61747,28.628803,-55.14961
58,-375.552,27.465572,42.326225,69.17303,-1.626607
59,-178.2876,127.268036,20.556496,112.70067,43.84906
60,2.787613,185.89294,52.603558,136.04213,77.34657
61,156.6578,243.16194,75.77658,129.9448,112.17967
62,278.66788,299.85843,77.24264,131.19588,159.22864
63,397.79712,304.15524,103.037025,136.32951,193.29543
64,513.1926,264.8547,147.83618,129.52425,192.74408
65,596.69763,246.00533,166.64023,123.16351,208.00558
66,671.30774,210.36208,157.7763,97.63347,256.33557
67,753.52576,101.98718,126.219345,38.22832,271.90063
68,801.4347,-4.5924826,109.77531,-3.725463,258.5231
69,823.27936,-58.657207,134.3872,-14.304511,254.95059
70,859.34735,-110.25228,138.62424,-43.6666,219.8347
71,891.3184,-164.83472,115.62393,-83.23641,154.5611
72,878.95496,-194.84895,144.24432,-90.21347,114.12448
73,830.75916,-219.17624,184.00691,-106.2263,105.316956
74,795.2404,-251.57831,174.2525,-141.77728,97.95564
75,791.82623,-281.69034,175.12318,-137.01642,68.69829
76,772.12445,-293.91562,196.43253,-123.8467,45.19648
77,708.8544,-293.09006,227.0628,-139.05435,33.331856
78,646.42615,-290.4105,249.85696,-143.92105,11.313332
79,613.8203,-283.28284,233.27664,-159.89392,-0.23784733
80,589.65125,-274.16788,219.96942,-192.54626,5.6861706
81,554.8001,-253.62144,233.2626,-188.9207,13.414221
82,504.43408,-217.02267,231.3418,-167.6268,20.932896
83,471.3751,-198.18748,219.08234,-175.85275,12.801567
84,468.42303,-180.42,218.52942,-183.48753,1.4264193
85,421.28638,-125.36533,220.12604,-158.6742,13.582457
86,295.31723,-63.67975,222.63235,-142.78468,17.459929
87,191.00952,-16.841423,222.29062,-133.883,19.588972
88,170.60828,10.98261,213.69354,-81.17869,38.51562
89,158.69101,19.723122,195.92577,-32.932854,54.059666
90,117.21224,47.11449,193.00763,-45.050056,68.878235
91,102.7908,83.237755,200.22397,-52.89263,80.877045
92,85.839294,105.142715,173.21771,-26.553532,90.68306
93,19.703568,140.76814,160.14127,-28.287039,88.25316
94,-41.861176,173.62253,177.38492,-42.684048,71.659515
95,-90.405396,186.44775,170.55722,-21.736853,75.98511
96,-158.12274,201.66124,172.79517,4.8789644,90.548416
97,-200.64572,220.92856,181.94206,6.699239,87.22656
98,-218.95554,246.84036,170.87991,6.2817907,81.43533
99,-273.83392,265.72406,183.34753,12.011666,78.17038
100,-344.85925,258.42117,202.18446,10.018889,73.02338
101,-381.53662,265.37854,214.53278,21.378841,80.62724
102,-396.6032,288.42734,229.89948,43.03471,89.274704
103,-418.3058,276.35223,236.3277,49.736652,83.44801
104,-429.75323,256.54132,254.73538,60.67391,60.890247
105,-418.41425,241.58517,258.37354,73.69567,57.52786
106,-415.59332,221.27995,232.56628,62.15836,86.992325
107,-441.95612,222.19875,227.95517,45.068523,84.10426
108,-438.98004,211.70007,211.44351,34.593838,42.917316
109,-410.2162,179.50615,172.69267,29.451427,29.937008
110,-408.0208,159.96567,162.92468,22.343258,41.45422
111,-420.5609,153.27995,162.35988,23.987244,44.923397
112,-429.11688,151.30927,147.17528,41.40046,45.43112
113,-442.49646,131.1695,124.22137,34.155018,39.976986
114,-443.1037,84.15988,104.0923,12.72404,31.250889
115,-463.8506,58.42062,109.906555,30.87257,34.403313
116,-543.73254,65.482864,130.14246,56.99631,45.85714
117,-592.9169,43.544308,115.76953,48.997807,53.93858
118,-568.8743,3.988532,88.42082,30.920353,55.198605
119,-586.93854,-14.029637,98.90322,26.174286,43.438248
120,-641.9367,-19.821877,119.12518,35.989418,22.622665
121,-663.85913,-26.909206,138.3438,41.43679,9.194071
122,-661.55554,-70.68987,151.6211,25.94485,11.008831
123,-664.7331,-128.39699,127.86481,6.6742315,19.68033
124,-678.98663,-147.19164,129.55037,1.4718542,18.376225
125,-673.9337,-175.45723,151.83261,-2.221115,-10.572436
126,-668.7246,-217.23683,118.295395,-16.385357,-31.685764
127,-682.17236,-234.77986,94.35727,-16.691982,-6.2417154
128,-663.7869,-252.85576,123.72157,5.5403204,16.666079
129,-640.8303,-266.30002,147.27133,29.09814,1.4327068
130,-646.2759,-252.54552,134.02283,41.93796,-12.147986
131,-649.1358,-249.17459,99.2175,38.947582,-8.218655
132,-650.98517,-275.92056,68.33123,21.816341,-4.4068213
133,-646.9513,-305.10968,47.64025,6.856879,-3.0921516
134,-623.4991,-333.53986,19.702759,-8.864004,-0.81349945
135,-611.5877,-350.47757,-3.5626297,-12.63493,16.009233
136,-616.5028,-328.7784,4.0206985,3.9274168,27.323162
137,-603.268,-326.76608,29.658539,12.578404,11.446114
138,-563.90906,-376.91278,34.740585,11.5925665,13.801308
139,-521.5293,-374.80557,22.014744,26.591122,50.437668
140,-463.01788,-297.6608,7.8273087,35.340008,46.13213
141,-380.26172,-260.88284,12.280746,37.25653,16.677418
142,-310.24133,-281.41263,31.050896,53.51736,42.62144
143,-272.6599,-276.58566,47.74409,57.420574,51.853607
144,-234.69113,-232.06673,57.499435,44.65015,13.387381
145,-176.82605,-188.70126,63.259636,52.563038,15.974062
146,-116.263,-154.88377,90.697136,64.89736,39.17862
147,-81.397736,-124.58888,138.46387,50.061954,23.799248
148,-82.078735,-127.43634,153.72409,17.808037,2.4188528
149,-120.4433,-182.48564,152.13065,1.972045,-5.4582863
150,-230.29239,-231.46939,178.87927,14.553485,-21.962433
151,-377.5083,-253.46709,192.94955,12.278842,-46.88462
152,-481.98407,-276.0994,175.64255,-9.537718,-75.473045
153,-559.81396,-288.62958,146.33643,-3.3732767,-99.325714
154,-646.1824,-314.4931,107.13507,-4.2422495,-104.9536
155,-724.53784,-367.1859,71.946594,-24.987629,-97.54918
156,-780.6383,-402.23636,42.23283,-1.7189417,-75.73682
157,-797.52783,-427.1871,-16.902832,33.876972,-47.919636
158,-774.5697,-450.6907,-103.974724,26.144123,-36.803547
159,-777.80707,-437.2746,-140.58395,19.529789,-38.177914
160,-812.4402,-404.5438,-116.70353,33.1467,-43.925255
161,-808.4596,-385.64954,-122.63984,31.006367,-43.8186
162,-761.3332,-365.94818,-146.89127,15.786363,-34.744747
163,-711.3943,-342.09445,-147.31683,9.005446,-18.857597
164,-672.1111,-331.36014,-151.1477,2.247901,-2.4798946
