,coords,areas,subjs,regions
0,[-28.63785  -9.38259 -20.9354 ],['AMY' 'AMY'],LL17,AMY
1,[-36.2612  -22.24785 -18.38065],['HPC' 'HPC'],LL17,HPC
2,[-56.26125 -16.50875 -16.61975],['STS' 'STS'],LL17,STS
3,[-32.82055  -39.1687    -8.354485],['PHG' 'PHG'],LL17,PHC
4,[ 27.194    -6.23719 -29.0783 ],['AMY' 'AMY'],LL17,AMY
5,[ 32.399     -6.269325 -28.75965 ],['AMY' 'AMY'],LL17,AMY
6,[ 35.75875 -32.31815 -15.0794 ],['PHG' 'PHG'],LL17,PHC
7,[ 51.9372  -45.23275  -7.72569],['STS' 'STS'],LL17,STS
8,[ 55.69225 -48.76085  -8.11228],['STS' 'STS'],LL17,STS
9,[37.7692  34.73755 10.42737],['IFS' 'IFS'],LL17,DLPFC
10,[41.05305 35.5727  14.84095],['IFS' 'IFS'],LL17,DLPFC
11,[44.69575 36.42705 19.43285],['MFG' 'MFG'],LL17,DLPFC
12,[ 38.42136169  12.196077   -24.15306772],['TP' 'TP'],BJH030,TP
13,[ 41.97428826  12.138924   -24.10416473],['TP' 'TP'],BJH030,TP
14,[ 46.11936927  12.0722455  -24.04711123],['TP' 'TP'],BJH030,TP
15,[ 50.27542027  12.0992925  -23.37882377],['TP' 'TP'],BJH030,TP
16,[ 54.41878178  12.60293244 -23.40228327],['TP' 'TP'],BJH030,TP
17,[ 45.65837585  -9.02797645 -17.32836431],['INS' 'INS'],BJH030,INS
18,[ 49.80173735  -8.52433651 -17.35182381],['STS' 'STS'],BJH030,STS
19,[ 53.94509886  -8.02069657 -17.3752833 ],['STS' 'STS'],BJH030,STS
20,[ 58.09017987  -8.08737507 -17.31822981],['STS' 'STS'],BJH030,STS
21,[ 62.8366658   -7.49953514 -16.72230485],['MTG' 'MTG'],BJH030,MTG
22,[ 66.99099731  -6.90216971 -16.13453038],['MTG' 'MTG'],BJH030,MTG
23,[ 39.09605213 -15.18873324 -20.28029368],['HPC' 'HPC'],BJH030,HPC
24,[ 59.81801816 -14.38148886 -20.1560522 ],['MTG' 'MTG'],BJH030,MTG
25,[ 63.97578867 -14.92476028 -19.40725174],['MTG' 'MTG'],BJH030,MTG
26,[ 68.13355917 -15.46803172 -18.6584513 ],['MTG' 'MTG'],BJH030,MTG
27,[ 48.11901957 -24.66009256 -12.59646273],['STS' 'STS'],BJH030,STS
28,[ 52.26410058 -24.72677106 -12.53940924],['STS' 'STS'],BJH030,STS
29,[ 56.42187108 -25.27004249 -11.79060879],['STS' 'STS'],BJH030,STS
